Tick#,Operating_Phase
143222258,Climbing
143393138,Climbing
143566452,Climbing
143758752,Climbing
143892690,Climbing
144024897,Climbing
144218770,Climbing
144591234,Climbing
144745339,Climbing
144986710,Climbing
145176947,Climbing
145312967,Climbing
145485787,Climbing
145678592,Climbing
145812955,Climbing
146112055,Climbing
146254226,Climbing
146522856,Climbing
146756477,Climbing
146895250,Climbing
147049410,Climbing
147232926,Climbing
147405805,Climbing
147598773,Climbing
147732538,Climbing
147968131,Climbing
148124123,Climbing
148431235,Climbing
148569656,Climbing
148723310,Climbing
148892053,Climbing
149153072,Climbing
149325849,Climbing
149479727,Climbing
149621585,Climbing
149784817,Climbing
149967235,Climbing
150121391,Climbing
150363122,Climbing
150540952,Climbing
150735234,Climbing
150889392,Climbing
151073002,Climbing
151245933,Climbing
151424143,Climbing
151572537,Climbing
151898608,Climbing
152088768,Climbing
152271235,Climbing
152425463,Climbing
152666780,Climbing
152993005,Climbing
153165848,Climbing
153331258,Climbing
153461585,Climbing
153728139,Climbing
153920152,Climbing
154150545,Climbing
154317765,Climbing
154534545,Climbing
154688139,Climbing
154912766,Climbing
155085637,Climbing
155278397,Climbing
155412307,Climbing
155554610,Climbing
155738551,Climbing
155895253,Climbing
156111235,Climbing
156339341,Climbing
156506578,Climbing
156664074,Climbing
156817189,Climbing
157005650,Climbing
157198431,Climbing
157330353,Climbing
157621136,Climbing
157760140,Climbing
158042768,Climbing
158336139,Climbing
158541652,Climbing
158752844,Climbing
158925638,Climbing
159118379,Climbing
159252313,Climbing
159436859,Climbing
159578357,Climbing
159889642,Climbing
160078008,Climbing
160346670,Climbing
160601747,Climbing
160730663,Climbing
161038547,Climbing
161170380,Climbing
161304951,Climbing
161485006,Climbing
161613770,Climbing
161882795,Climbing
162124854,Climbing
162266650,Climbing
162447368,Climbing
162577377,Climbing
162716407,Climbing
162919934,Climbing
163061585,Climbing
163289749,Climbing
163418529,Climbing
163609007,Climbing
163781535,Climbing
163917847,Climbing
164186615,Climbing
164326551,Climbing
164513041,Climbing
164685914,Climbing
164878556,Climbing
165012315,Climbing
165308001,Climbing
165453760,Climbing
165593750,Climbing
165722493,Climbing
165912886,Climbing
166085543,Climbing
166221667,Climbing
166375767,Climbing
166556154,Climbing
166798357,Climbing
166932359,Climbing
167064897,Climbing
167258294,Climbing
167415229,Climbing
167631235,Climbing
167884863,Climbing
168026623,Climbing
168216886,Climbing
168352942,Climbing
168525624,Climbing
168718490,Climbing
168852431,Climbing
169049752,Climbing
169178310,Climbing
169359397,Climbing
169562788,Climbing
169873323,Climbing
170061686,Climbing
170240148,Climbing
170393739,Climbing
170624134,Climbing
170772334,Climbing
171098642,Climbing
171302414,Climbing
171461535,Climbing
171598340,Climbing
171737729,Climbing
171866557,Climbing
172121730,Climbing
172250574,Climbing
172558554,Climbing
172692497,Climbing
172824840,Climbing
173007254,Climbing
173175434,Climbing
173402736,Climbing
173542535,Climbing
173772941,Climbing
173901917,Climbing
174113006,Climbing
174285930,Climbing
174451215,Climbing
174581585,Climbing
174823715,Climbing
175004131,Climbing
175301535,Climbing
175438144,Climbing
175668522,Climbing
175822073,Climbing
176017517,Climbing
176206594,Climbing
176398705,Climbing
176532502,Climbing
176837535,Climbing
176974340,Climbing
177139217,Climbing
177308200,Climbing
177553420,Climbing
177741910,Climbing
177895722,Climbing
178049492,Climbing
178188957,Climbing
178318562,Climbing
178452543,Climbing
178584850,Climbing
178778613,Climbing
178956957,Climbing
179141535,Climbing
179277924,Climbing
179546621,Climbing
179736818,Climbing
179873026,Climbing
180045889,Climbing
180238665,Climbing
180372418,Climbing
180583885,Climbing
180813952,Climbing
181082964,Climbing
181239808,Climbing
181445535,Climbing
181581925,Climbing
181793015,Climbing
181965948,Climbing
182158646,Climbing
182292512,Climbing
182545696,Climbing
182684287,Climbing
182929503,Climbing
183117855,Climbing
183386652,Climbing
183543576,Climbing
183713126,Climbing
183885855,Climbing
184051220,Climbing
184181585,Climbing
184311960,Climbing
184465507,Climbing
184653855,Climbing
184819221,Climbing
184988334,Climbing
185295251,Climbing
185516369,Climbing
185690743,Climbing
185882929,Climbing
186063243,Climbing
186231801,Climbing
186458855,Climbing
186624069,Climbing
186831235,Climbing
186999978,Climbing
187226773,Climbing
187520148,Climbing
187725862,Climbing
187918705,Climbing
188052430,Climbing
188288143,Climbing
188441748,Climbing
188689445,Climbing
188828100,Climbing
189135243,Climbing
189339023,Climbing
189473069,Climbing
189645887,Climbing
189838604,Climbing
189972617,Climbing
190104767,Climbing
190298702,Climbing
190464071,Climbing
190671243,Climbing
190951750,Climbing
191132124,Climbing
191285785,Climbing
191439246,Climbing
191616068,Climbing
191758828,Climbing
191892558,Climbing
192027112,Climbing
192207235,Climbing
192375647,Climbing
192602827,Climbing
192794946,Climbing
192975254,Climbing
193267225,Climbing
193436053,Climbing
193678567,Climbing
193813154,Climbing
193971366,Climbing
194138705,Climbing
194316965,Climbing
194511236,Climbing
194700959,Climbing
194906966,Climbing
195187226,Climbing
195392192,Climbing
195598821,Climbing
195732533,Climbing
195864818,Climbing
196047244,Climbing
196215625,Climbing
196442858,Climbing
196599648,Climbing
196761674,Climbing
196941953,Climbing
197153073,Climbing
197304874,Climbing
197442843,Climbing
197583254,Climbing
197798487,Climbing
197978735,Climbing
198156969,Climbing
198297789,Climbing
198477902,Climbing
198746744,Climbing
199043080,Climbing
199245780,Climbing
199438627,Climbing
199572461,Climbing
199731365,Climbing
199887235,Climbing
200091188,Climbing
200282755,Climbing
200472947,Climbing
200664743,Climbing
200977595,Climbing
201116053,Climbing
201347006,Climbing
201492971,Climbing
201624946,Climbing
201818709,Climbing
202022483,Climbing
202191242,Climbing
202513395,Climbing
202652154,Climbing
202882943,Climbing
203085933,Climbing
203278873,Climbing
203412491,Climbing
203651166,Climbing
203853855,Climbing
204122897,Climbing
204300979,Climbing
204468808,Climbing
204621849,Climbing
204833108,Climbing
205006082,Climbing
205186981,Climbing
205332473,Climbing
205606580,Climbing
205773878,Climbing
205955114,Climbing
206123011,Climbing
206426811,Climbing
206660440,Climbing
206799235,Climbing
207118663,Climbing
207252626,Climbing
207394620,Climbing
207567235,Climbing
207889448,Climbing
208028219,Climbing
208220307,Climbing
208426419,Climbing
208673150,Climbing
208846410,Climbing
209027174,Climbing
209172654,Climbing
209498684,Climbing
209698606,Climbing
209871235,Climbing
210214581,Climbing
210381827,Climbing
210563050,Climbing
210765756,Climbing
210958574,Climbing
211090483,Climbing
211251383,Climbing
