Tick#,Operating_Phase
143222258,Taking-Off
143393138,Taking-Off
143566452,Taking-Off
143758752,Resting
143892690,Resting
144024897,Resting
144218770,Resting
144591234,Resting
144745339,Resting
144986710,Resting
145176947,Resting
145312967,Resting
145485787,Resting
145678592,Resting
145812955,Resting
146112055,Resting
146254226,Resting
146522856,Resting
146756477,Resting
146895250,Resting
147049410,Resting
147232926,Resting
147405805,Resting
147598773,Resting
147732538,Resting
147968131,Resting
148124123,Resting
148431235,Resting
148569656,Resting
148723310,Resting
148892053,Resting
149153072,Resting
149325849,Resting
149479727,Resting
149621585,Resting
149784817,Resting
149967235,Resting
150121391,Resting
150363122,Resting
150540952,Resting
150735234,Resting
150889392,Resting
151073002,Resting
151245933,Resting
151424143,Resting
151572537,Resting
151898608,Resting
152088768,Resting
152271235,Resting
152425463,Resting
152666780,Resting
152993005,Resting
153165848,Resting
153331258,Resting
153461585,Resting
153728139,Resting
153920152,Resting
154150545,Resting
154317765,Resting
154534545,Resting
154688139,Resting
154912766,Resting
155085637,Resting
155278397,Taking-Off
155412307,Resting
155554610,Resting
155738551,Resting
155895253,Resting
156111235,Resting
156339341,Taking-Off
156506578,Taking-Off
156664074,Taking-Off
156817189,Taking-Off
157005650,Resting
157198431,Resting
157330353,Taking-Off
157621136,Taking-Off
157760140,Taking-Off
158042768,Taking-Off
158336139,Taking-Off
158541652,Taking-Off
158752844,Taking-Off
158925638,Taking-Off
159118379,Taking-Off
159252313,Taking-Off
159436859,Taking-Off
159578357,Taking-Off
159889642,Taking-Off
160078008,Taking-Off
160346670,Taking-Off
160601747,Taking-Off
160730663,Taking-Off
161038547,Taking-Off
161170380,Taking-Off
161304951,Taking-Off
161485006,Taking-Off
161613770,Taking-Off
161882795,Taking-Off
162124854,Taking-Off
162266650,Taking-Off
162447368,Taking-Off
162577377,Taking-Off
162716407,Taking-Off
162919934,Taking-Off
163061585,Resting
163289749,Resting
163418529,Resting
163609007,Resting
163781535,Resting
163917847,Resting
164186615,Resting
164326551,Resting
164513041,Resting
164685914,Resting
164878556,Resting
165012315,Resting
165308001,Resting
165453760,Resting
165593750,Resting
165722493,Resting
165912886,Resting
166085543,Resting
166221667,Resting
166375767,Resting
166556154,Resting
166798357,Resting
166932359,Resting
167064897,Resting
167258294,Resting
167415229,Resting
167631235,Resting
167884863,Resting
168026623,Resting
168216886,Resting
168352942,Resting
168525624,Resting
168718490,Resting
168852431,Resting
169049752,Resting
169178310,Resting
169359397,Resting
169562788,Resting
169873323,Resting
170061686,Resting
170240148,Resting
170393739,Resting
170624134,Resting
170772334,Resting
171098642,Resting
171302414,Resting
171461535,Resting
171598340,Resting
171737729,Resting
171866557,Resting
172121730,Resting
172250574,Taking-Off
172558554,Taking-Off
172692497,Resting
172824840,Resting
173007254,Resting
173175434,Resting
173402736,Resting
173542535,Resting
173772941,Resting
173901917,Resting
174113006,Resting
174285930,Resting
174451215,Resting
174581585,Resting
174823715,Resting
175004131,Resting
175301535,Resting
175438144,Resting
175668522,Resting
175822073,Resting
176017517,Resting
176206594,Resting
176398705,Resting
176532502,Resting
176837535,Resting
176974340,Resting
177139217,Resting
177308200,Resting
177553420,Resting
177741910,Resting
177895722,Resting
178049492,Resting
178188957,Resting
178318562,Resting
178452543,Resting
178584850,Resting
178778613,Resting
178956957,Resting
179141535,Resting
179277924,Resting
179546621,Resting
179736818,Resting
179873026,Resting
180045889,Resting
180238665,Resting
180372418,Resting
180583885,Resting
180813952,Resting
181082964,Resting
181239808,Resting
181445535,Resting
181581925,Resting
181793015,Resting
181965948,Resting
182158646,Resting
182292512,Resting
182545696,Resting
182684287,Resting
182929503,Resting
183117855,Resting
183386652,Resting
183543576,Resting
183713126,Resting
183885855,Resting
184051220,Resting
184181585,Resting
184311960,Resting
184465507,Resting
184653855,Resting
184819221,Resting
184988334,Resting
185295251,Resting
185516369,Resting
185690743,Resting
185882929,Resting
186063243,Resting
186231801,Resting
186458855,Resting
186624069,Resting
186831235,Resting
186999978,Resting
187226773,Resting
187520148,Resting
187725862,Resting
187918705,Resting
188052430,Resting
188288143,Resting
188441748,Resting
188689445,Resting
188828100,Resting
189135243,Resting
189339023,Resting
189473069,Resting
189645887,Resting
189838604,Resting
189972617,Resting
190104767,Resting
190298702,Resting
190464071,Resting
190671243,Resting
190951750,Resting
191132124,Resting
191285785,Resting
191439246,Resting
191616068,Resting
191758828,Resting
191892558,Resting
192027112,Resting
192207235,Resting
192375647,Resting
192602827,Resting
192794946,Resting
192975254,Resting
193267225,Resting
193436053,Resting
193678567,Resting
193813154,Resting
193971366,Resting
194138705,Resting
194316965,Resting
194511236,Resting
194700959,Resting
194906966,Resting
195187226,Resting
195392192,Resting
195598821,Resting
195732533,Resting
195864818,Resting
196047244,Resting
196215625,Resting
196442858,Resting
196599648,Resting
196761674,Resting
196941953,Resting
197153073,Resting
197304874,Resting
197442843,Resting
197583254,Resting
197798487,Resting
197978735,Resting
198156969,Resting
198297789,Resting
198477902,Resting
198746744,Resting
199043080,Resting
199245780,Resting
199438627,Resting
199572461,Resting
199731365,Resting
199887235,Resting
200091188,Resting
200282755,Resting
200472947,Resting
200664743,Resting
200977595,Resting
201116053,Resting
201347006,Resting
201492971,Resting
201624946,Resting
201818709,Resting
202022483,Resting
202191242,Resting
202513395,Resting
202652154,Resting
202882943,Resting
203085933,Taking-Off
203278873,Taking-Off
203412491,Taking-Off
203651166,Taking-Off
203853855,Taking-Off
204122897,Resting
204300979,Resting
204468808,Resting
204621849,Resting
204833108,Resting
205006082,Resting
205186981,Resting
205332473,Resting
205606580,Resting
205773878,Resting
205955114,Resting
206123011,Resting
206426811,Resting
206660440,Resting
206799235,Resting
207118663,Resting
207252626,Resting
207394620,Resting
207567235,Resting
207889448,Resting
208028219,Resting
208220307,Resting
208426419,Resting
208673150,Resting
208846410,Resting
209027174,Resting
209172654,Resting
209498684,Resting
209698606,Resting
209871235,Resting
210214581,Resting
210381827,Resting
210563050,Resting
210765756,Resting
210958574,Resting
211090483,Resting
211251383,Resting
211397535,Resting
211533919,Resting
211802628,Resting
211992935,Resting
212175235,Resting
212513048,Resting
212685761,Resting
212867068,Resting
213012560,Resting
213154610,Resting
213338677,Resting
213635052,Resting
213838157,Resting
214106674,Resting
214316051,Resting
214479253,Resting
214798756,Resting
214930428,Resting
215171115,Resting
215374605,Resting
215642901,Resting
215939047,Resting
216141990,Resting
216353071,Resting
216490462,Resting
216707115,Resting
216852556,Resting
217178417,Resting
217475185,Resting
217677744,Resting
217946424,Resting
218243146,Resting
218445810,Resting
218639137,Resting
218770577,Resting
219011143,Resting
219213841,Resting
219482644,Resting
219731801,Resting
219866581,Resting
220047368,Resting
220192978,Resting
220365733,Resting
220547086,Resting
220692531,Resting
221018544,Resting
221208935,Resting
221371966,Resting
221517871,Resting
221786672,Resting
222083088,Resting
222285839,Resting
222478728,Resting
222610394,Resting
222851174,Resting
223053831,Resting
223322631,Resting
223479843,Resting
223619089,Resting
223821780,Resting
224033054,Resting
224167652,Resting
224387086,Resting
224532414,Resting
224858390,Resting
225155213,Resting
225357720,Resting
225626398,Resting
225807378,Resting
225952919,Resting
226125721,Resting
226318609,Resting
226450455,Resting
226691088,Resting
226893756,Resting
227162513,Resting
227459156,Resting
227661725,Resting
227872875,Resting
228007693,Resting
228227166,Resting
228372425,Resting
228698631,Resting
228995091,Resting
229197901,Resting
229466460,Resting
229763087,Resting
229965757,Resting
230158566,Resting
230290394,Resting
230531089,Resting
230733876,Resting
231002668,Resting
231299094,Resting
231501804,Resting
231712879,Resting
231885903,Resting
232067114,Resting
232212479,Resting
232538412,Resting
232719434,Resting
232901544,Resting
233037889,Resting
233306528,Resting
